file_id,type,number_affix,date,area,param,step,request_time
pf_2020-01-01_nontem.grib,pf,,2020-01-01/to/2020-01-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-02-01_tem.grib,cf,#,2020-02-01/to/2020-02-29,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-02-01_nontem.grib,pf,,2020-02-01/to/2020-02-29,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-02-01_tem.grib,cf,#,2020-02-01/to/2020-02-29,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-02-01_nontem.grib,pf,,2020-02-01/to/2020-02-29,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-03-01_tem.grib,cf,#,2020-03-01/to/2020-03-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-03-01_nontem.grib,pf,,2020-03-01/to/2020-03-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-03-01_tem.grib,cf,#,2020-03-01/to/2020-03-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-03-01_nontem.grib,pf,,2020-03-01/to/2020-03-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-04-01_tem.grib,cf,#,2020-04-01/to/2020-04-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-04-01_nontem.grib,pf,,2020-04-01/to/2020-04-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-04-01_tem.grib,cf,#,2020-04-01/to/2020-04-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-04-01_nontem.grib,pf,,2020-04-01/to/2020-04-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-05-01_tem.grib,cf,#,2020-05-01/to/2020-05-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-05-01_nontem.grib,pf,,2020-05-01/to/2020-05-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-05-01_tem.grib,cf,#,2020-05-01/to/2020-05-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-05-01_nontem.grib,pf,,2020-05-01/to/2020-05-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-06-01_tem.grib,cf,#,2020-06-01/to/2020-06-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-06-01_nontem.grib,pf,,2020-06-01/to/2020-06-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-06-01_tem.grib,cf,#,2020-06-01/to/2020-06-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2020-06-01_nontem.grib,pf,,2020-06-01/to/2020-06-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2020-07-01_tem.grib,cf,#,2020-07-01/to/2020-07-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2020-07-01_nontem.grib,pf,,2020-07-01/to/2020-07-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2020-07-01_tem.grib,cf,#,2020-07-01/to/2020-07-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
